,social_connection_frequency,gathering_size_preference,valued_friendship_traits,conflict_resolution_style,family_support_level,social_battery_recharge,social_orientation_type,social_anxiety_level,emotional_expression_method,primary_anger_sources,target
20,Daily,Both,Loyalty,Let time fix it,Sometimes,Social media,Ambivert,Nervous,Express emotion strongly,Unnecessary criticism,1.0
21,Daily,Both,Loyalty,Talk it out,Yes,None of the above,Not sure,Neutral,Stay silent,Being interrupted,0.0
22,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
23,Weekly,Large events,Loyalty,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
24,Daily,Both,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
25,Weekly,Large events,Loyalty,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
26,Never,Large events,Loyalty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Nervous,Express emotion strongly,Being interrupted,0.0
27,Daily,Small gatherings,Loyalty,Talk it out,Yes,Alone time,Introvert,Nervous,Talk openly,Selfishness,1.0
28,Weekly,Large events,Loyalty,Apologize first,Sometimes,Alone time,Extrovert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
29,Daily,Small gatherings,Loyalty,Talk it out,No,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
30,Monthly,Both,Honesty,Apologize first,Yes,Talking to someone,Ambivert,Nervous,Stay silent,Injustice,1.0
31,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Stay silent,Selfishness,0.0
32,Weekly,Small gatherings,Honesty,Talk it out,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
33,Daily,Small gatherings,Loyalty,Talk it out,No,Alone time,Ambivert,Neutral,Stay silent,Selfishness,0.0
34,Daily,Both,Loyalty,Apologize first,No,Talking to someone,Extrovert,Excited,Talk openly,Unnecessary criticism,1.0
35,Daily,Both,Honesty,Apologize first,Sometimes,Talking to someone,Extrovert,Nervous,Talk openly,Unnecessary criticism,0.0
36,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
37,Daily,Both,Loyalty,Talk it out,Yes,Alone time,Not sure,Nervous,Stay silent,Selfishness,0.0
38,Monthly,Large events,Loyalty,Avoid conflict,No,Social media,Introvert,Excited,Express emotion strongly,Being interrupted,1.0
39,Daily,Both,Loyalty,Avoid conflict,Sometimes,Social media,Ambivert,Neutral,Other,Injustice,0.0
40,Monthly,Both,Support,Apologize first,Sometimes,Talking to someone,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
41,Daily,Large events,Loyalty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Nervous,Stay silent,Unnecessary criticism,0.0
42,Daily,Both,Honesty,Talk it out,Yes,Social media,Ambivert,Excited,Stay silent,Unnecessary criticism,0.0
43,Daily,Small gatherings,Loyalty,Apologize first,Sometimes,Social media,Not sure,Excited,Stay silent,Injustice,0.0
44,Daily,Small gatherings,Honesty,Avoid conflict,Sometimes,Talking to someone,Not sure,Nervous,Express emotion strongly,Unnecessary criticism,0.0
45,Weekly,Large events,Support,Apologize first,Yes,Social media,Extrovert,Excited,Talk openly,Unnecessary criticism,1.0
46,Daily,Small gatherings,Loyalty,Talk it out,Sometimes,Talking to someone,Extrovert,Neutral,Stay silent,Unnecessary criticism,1.0
47,Weekly,Small gatherings,Honesty,Avoid conflict,No,Social media,Introvert,Excited,Talk openly,Unnecessary criticism,1.0
48,Weekly,Large events,Honesty,Talk it out,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
49,Weekly,Large events,Honesty,Talk it out,Yes,Social media,Extrovert,Nervous,Talk openly,Selfishness,0.0
50,Daily,Large events,Honesty,Talk it out,No,Alone time,Introvert,Excited,Talk openly,Unnecessary criticism,1.0
51,Weekly,Both,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Talk openly,Selfishness,0.0
52,Weekly,Small gatherings,Honesty,Talk it out,Yes,Social media,Introvert,Excited,Stay silent,Being interrupted,0.0
53,Weekly,Never,Support,Apologize first,Sometimes,None of the above,Extrovert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
54,Monthly,Both,Loyalty,Talk it out,Sometimes,Social media,Introvert,Excited,Stay silent,Being interrupted,0.0
55,Weekly,Both,All,Apologize first,Sometimes,None of the above,Extrovert,Excited,Stay silent,Being interrupted,1.0
56,Never,Both,Loyalty,Apologize first,Sometimes,Social media,Extrovert,Excited,Stay silent,Unnecessary criticism,1.0
57,Daily,Large events,Loyalty,Avoid conflict,No,Alone time,Extrovert,Neutral,Stay silent,Selfishness,0.0
58,Daily,Small gatherings,Loyalty,Talk it out,No,Alone time,Introvert,Excited,Stay silent,Selfishness,0.0
59,Daily,Large events,Loyalty,Apologize first,Yes,Alone time,Ambivert,Neutral,Stay silent,Being interrupted,0.0
60,Weekly,Large events,Honesty,Avoid conflict,Sometimes,Alone time,Ambivert,Avoid it,Other,Injustice,0.0
61,Monthly,Never,Loyalty,Apologize first,Sometimes,Social media,Extrovert,Neutral,Express emotion strongly,Being interrupted,0.0
62,Daily,Large events,Support,Apologize first,Yes,Talking to someone,Introvert,Neutral,Stay silent,Selfishness,0.0
63,Weekly,Small gatherings,Loyalty,Avoid conflict,Sometimes,Social media,Ambivert,Excited,Stay silent,Being interrupted,0.0
64,Weekly,Small gatherings,Support,Apologize first,Yes,None of the above,Introvert,Neutral,Stay silent,Selfishness,0.0
65,Weekly,Large events,Loyalty,Talk it out,Sometimes,Talking to someone,Extrovert,Nervous,Talk openly,Unnecessary criticism,1.0
66,Monthly,Small gatherings,All the three and trust ,Talk it out,Yes,Alone time,Introvert,Nervous,Stay silent,Selfishness,1.0
67,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Extrovert,Avoid it,Express emotion strongly,Being interrupted,0.0
68,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
69,Weekly,Large events,Loyalty,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
70,Daily,Both,Support,Talk it out,Yes,Social media,Extrovert,Nervous,Stay silent,Selfishness,0.0
71,Daily,Both,Support,Let time fix it,Yes,Talking to someone,Extrovert,Nervous,Express emotion strongly,Selfishness,0.0
72,Daily,Large events,Loyalty,Avoid conflict,No,Social media,Ambivert,Excited,Talk openly,Selfishness,0.0
73,Daily,Both,Support,Apologize first,Sometimes,Talking to someone,Ambivert,Neutral,Talk openly,Unnecessary criticism,0.0
74,Daily,Large events,Loyalty,Avoid conflict,No,Social media,Not sure,Excited,Talk openly,Selfishness,1.0
75,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
76,Monthly,Both,Support,Let time fix it,Yes,Talking to someone,Introvert,Nervous,Other,Selfishness,0.0
77,Daily,Small gatherings,Honesty,Talk it out,Yes,Social media,Extrovert,Nervous,Stay silent,Selfishness,0.0
79,Daily,Small gatherings,Honesty,Talk it out,Yes,Social media,Not sure,Avoid it,Express emotion strongly,Injustice,0.0
80,Monthly,Large events,Honesty,Avoid conflict,No,Talking to someone,Ambivert,Nervous,Talk openly,Selfishness,1.0
81,Weekly,Large events,Loyalty,Apologize first,Sometimes,Talking to someone,Extrovert,Nervous,Express emotion strongly,Selfishness,0.0
82,Weekly,Large events,Honesty,Talk it out,Yes,Alone time,Introvert,Neutral,Express emotion strongly,Being interrupted,1.0
83,Daily,Both,Honesty,Talk it out,Yes,None of the above,Not sure,Excited,Other,Injustice,0.0
84,Daily,Small gatherings,Honesty,Talk it out,No,Talking to someone,Extrovert,Neutral,Stay silent,Selfishness,1.0
85,Daily,Large events,Honesty,Talk it out,Yes,None of the above,Not sure,Excited,Other,Injustice,0.0
86,Daily,Small gatherings,Support,Avoid conflict,Sometimes,Social media,Ambivert,Excited,Stay silent,Being interrupted,0.0
87,Daily,Large events,Honesty,Talk it out,Yes,None of the above,Not sure,Excited,Other,Injustice,0.0
88,Daily,Large events,Honesty,Talk it out,Yes,None of the above,Not sure,Excited,Other,Injustice,0.0
89,Weekly,Large events,Loyalty,Apologize first,Sometimes,Social media,Extrovert,Neutral,Express emotion strongly,Being interrupted,1.0
90,Daily,Large events,Honesty,Talk it out,Yes,None of the above,Not sure,Excited,Other,Injustice,0.0
91,Weekly,Both,Loyalty,Apologize first,Sometimes,Talking to someone,Not sure,Avoid it,Stay silent,Being interrupted,0.0
92,Weekly,Both,Loyalty,Avoid conflict,Sometimes,Talking to someone,Extrovert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
93,Daily,Large events,Honesty,Talk it out,Yes,None of the above,Not sure,Excited,Other,Injustice,0.0
94,Weekly,Large events,Support,Avoid conflict,Sometimes,None of the above,Ambivert,Excited,Other,Selfishness,0.0
95,Daily,Large events,Honesty,Talk it out,Yes,None of the above,Not sure,Excited,Other,Injustice,0.0
96,Daily,Both,Honesty,Avoid conflict,No,Social media,Introvert,Excited,Talk openly,Selfishness,1.0
97,Daily,Small gatherings,Honesty,Talk it out,Yes,Social media,Extrovert,Avoid it,Other,Injustice,0.0
98,Daily,Large events,Honesty,Talk it out,Yes,None of the above,Not sure,Excited,Other,Injustice,0.0
99,Weekly,Small gatherings,Loyalty,Avoid conflict,Yes,Social media,Extrovert,Nervous,Express emotion strongly,Being interrupted,0.0
100,Daily,Large events,Honesty,Talk it out,Yes,Social media,Not sure,Excited,Other,Injustice,0.0
101,Daily,Large events,Honesty,Talk it out,Yes,None of the above,Not sure,Excited,Other,Injustice,0.0
102,Daily,Small gatherings,Honesty,Talk it out,Yes,Talking to someone,Not sure,Avoid it,Other,Injustice,0.0
104,Daily,Small gatherings,Loyalty,Avoid conflict,Yes,Alone time,Introvert,Nervous,Stay silent,Unnecessary criticism,0.0
105,Monthly,Small gatherings,Support,Avoid conflict,Sometimes,Talking to someone,Introvert,Excited,Stay silent,Unnecessary criticism,0.0
106,Daily,Both,Loyalty,Talk it out,Yes,Alone time,Introvert,Nervous,Talk openly,Unnecessary criticism,1.0
107,Daily,Small gatherings,Support,Avoid conflict,Sometimes,Social media,Extrovert,Neutral,Other,Injustice,0.0
108,Daily,Both,Support,Talk it out,Yes,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
109,Daily,Small gatherings,Loyalty,Avoid conflict,Never,Talking to someone,Ambivert,Avoid it,Other,Injustice,0.0
110,Monthly,Both,Honesty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
111,Daily,Small gatherings,Loyalty,Avoid conflict,No,Social media,Extrovert,Excited,Talk openly,Selfishness,1.0
112,Weekly,Small gatherings,Honesty,Avoid conflict,Sometimes,Alone time,Introvert,Nervous,Talk openly,Unnecessary criticism,0.0
113,Daily,Small gatherings,Honesty,Talk it out,No,Alone time,Extrovert,Neutral,Stay silent,Unnecessary criticism,1.0
114,Weekly,Both,Loyalty,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Injustice,0.0
115,Daily,Large events,Honesty,Avoid conflict,No,Social media,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
116,Weekly,Small gatherings,Honesty,Avoid conflict,Sometimes,Talking to someone,Not sure,Avoid it,Express emotion strongly,Injustice,0.0
117,Weekly,Both,Loyalty,Let time fix it,Never,None of the above,Not sure,Neutral,Express emotion strongly,Injustice,0.0
118,Daily,Both,Honesty,Avoid conflict,Yes,Social media,Introvert,Excited,Talk openly,Selfishness,1.0
119,Monthly,Large events,Support,Let time fix it,Never,Social media,Extrovert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
120,Daily,Large events,Loyalty,Avoid conflict,No,Social media,Extrovert,Nervous,Talk openly,Unnecessary criticism,1.0
121,Monthly,Large events,Loyalty,Apologize first,Sometimes,Talking to someone,Extrovert,Nervous,Express emotion strongly,Being interrupted,0.0
122,Daily,Large events,Honesty,Avoid conflict,Yes,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
123,Daily,Both,Support,Apologize first,Sometimes,Talking to someone,Extrovert,Neutral,Other,Being interrupted,0.0
124,Monthly,Never,Support,Apologize first,Sometimes,Talking to someone,Ambivert,Avoid it,Express emotion strongly,Injustice,0.0
125,Monthly,Both,Support,Let time fix it,Never,None of the above,Not sure,Neutral,Other,Unnecessary criticism,0.0
126,Monthly,Large events,Loyalty,Avoid conflict,Never,None of the above,Not sure,Avoid it,Stay silent,Unnecessary criticism,0.0
127,Monthly,Large events,Support,Apologize first,Sometimes,Alone time,Extrovert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
128,Weekly,Both,Loyalty,Avoid conflict,Sometimes,Social media,Extrovert,Nervous,Other,Injustice,0.0
129,Never,Both,Loyalty,Talk it out,Yes,Social media,Extrovert,Nervous,Stay silent,Being interrupted,0.0
130,Monthly,Large events,Loyalty,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
131,Weekly,Large events,Honesty,Talk it out,No,Alone time,Extrovert,Neutral,Express emotion strongly,Being interrupted,0.0
132,Weekly,Large events,Loyalty,Talk it out,Sometimes,Social media,Extrovert,Neutral,Stay silent,Being interrupted,1.0
133,Never,Never,Loyalty,Apologize first,Sometimes,Talking to someone,Not sure,Neutral,Other,Injustice,0.0
134,Weekly,Small gatherings,Loyalty,Apologize first,No,None of the above,Not sure,Avoid it,Express emotion strongly,Unnecessary criticism,0.0
135,Daily,Large events,Loyalty,Apologize first,Yes,Social media,Extrovert,Neutral,Express emotion strongly,Injustice,0.0
136,Daily,Small gatherings,Honesty,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
137,Weekly,Large events,Loyalty,Apologize first,No,Social media,Extrovert,Neutral,Stay silent,Being interrupted,0.0
138,Monthly,Large events,Support,Avoid conflict,Sometimes,Social media,Extrovert,Nervous,Other,Being interrupted,0.0
139,Weekly,Large events,Loyalty,Avoid conflict,No,Social media,Ambivert,Excited,Express emotion strongly,Unnecessary criticism,0.0
140,Never,Never,Support,Apologize first,Sometimes,Talking to someone,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
141,Weekly,Large events,Loyalty,Avoid conflict,Yes,Alone time,Extrovert,Neutral,Other,Being interrupted,1.0
142,Daily,Large events,Loyalty,Avoid conflict,Yes,Alone time,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
143,Weekly,Both,Support,Talk it out,Sometimes,Social media,Extrovert,Nervous,Express emotion strongly,Injustice,0.0
144,Daily,Both,Loyalty,Avoid conflict,Yes,Talking to someone,Not sure,Nervous,Stay silent,Unnecessary criticism,0.0
145,Never,Never,Support,Let time fix it,Never,None of the above,Ambivert,Avoid it,Other,Injustice,0.0
146,Daily,Small gatherings,Loyalty,Apologize first,Sometimes,None of the above,Ambivert,Nervous,Talk openly,Selfishness,1.0
147,Daily,Both,Honesty,Talk it out,Sometimes,Social media,Introvert,Neutral,Stay silent,Selfishness,0.0
148,Daily,Large events,Loyalty,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
149,Daily,Large events,Loyalty,Apologize first,Sometimes,Talking to someone,Introvert,Excited,Stay silent,Unnecessary criticism,0.0
150,Monthly,Large events,Loyalty,Avoid conflict,No,Talking to someone,Introvert,Nervous,Stay silent,Being interrupted,0.0
151,Never,Never,Support,Apologize first,Sometimes,Talking to someone,Ambivert,Avoid it,Other,Injustice,0.0
152,Daily,Small gatherings,Loyalty,Talk it out,No,Social media,Extrovert,Excited,Stay silent,Unnecessary criticism,0.0
153,Weekly,Large events,Honesty,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Selfishness,0.0
154,Monthly,Both,Loyalty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Nervous,Talk openly,Unnecessary criticism,0.0
155,Weekly,Both,Loyalty,Avoid conflict,No,Alone time,Extrovert,Excited,Stay silent,Unnecessary criticism,0.0
156,Weekly,Large events,Loyalty,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
157,Monthly,Large events,Support,Let time fix it,Sometimes,Talking to someone,Introvert,Neutral,Stay silent,Being interrupted,1.0
158,Daily,Small gatherings,Support,Let time fix it,Never,Talking to someone,Extrovert,Neutral,Stay silent,Being interrupted,0.0
159,Weekly,Large events,Loyalty,Avoid conflict,Sometimes,Talking to someone,Not sure,Nervous,Express emotion strongly,Unnecessary criticism,0.0
160,Weekly,Both,Support,Talk it out,Yes,Talking to someone,Ambivert,Excited,Stay silent,Selfishness,0.0
161,Monthly,Small gatherings,Honesty,Let time fix it,Sometimes,Social media,Extrovert,Nervous,Express emotion strongly,Injustice,0.0
162,Monthly,Never,Support,Avoid conflict,No,Alone time,Extrovert,Neutral,Other,Injustice,0.0
163,Daily,Large events,Support,Avoid conflict,Yes,Alone time,Introvert,Excited,Express emotion strongly,Selfishness,1.0
164,Daily,Small gatherings,Loyalty,Talk it out,No,Talking to someone,Introvert,Neutral,Other,Unnecessary criticism,0.0
165,Weekly,Large events,Loyalty,Apologize first,Sometimes,None of the above,Ambivert,Neutral,Other,Injustice,0.0
166,Weekly,Large events,Loyalty,Avoid conflict,Sometimes,Social media,Ambivert,Nervous,Talk openly,Unnecessary criticism,0.0
167,Daily,Both,Loyalty,Let time fix it,Sometimes,Social media,Not sure,Nervous,Stay silent,Unnecessary criticism,0.0
168,Daily,Both,Support,Talk it out,Yes,Talking to someone,Ambivert,Excited,"Talk openly, Stay silent",Selfishness,0.0
169,Weekly,Never,Loyalty,Apologize first,No,Social media,Introvert,Excited,Stay silent,Unnecessary criticism,0.0
170,Weekly,Large events,Loyalty,Avoid conflict,No,None of the above,Not sure,Nervous,Other,Being interrupted,1.0
171,Daily,Small gatherings,Loyalty,Avoid conflict,Yes,Alone time,Extrovert,Nervous,Talk openly,Selfishness,0.0
172,Weekly,Large events,Honesty,Apologize first,Never,Social media,Ambivert,Neutral,Other,Injustice,0.0
173,Daily,Large events,Loyalty,Talk it out,No,Social media,Extrovert,Nervous,Express emotion strongly,Being interrupted,0.0
174,Monthly,Both,Loyalty,Apologize first,Never,Social media,Extrovert,Avoid it,Talk openly,Selfishness,0.0
175,Weekly,Both,Loyalty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Excited,Express emotion strongly,Being interrupted,0.0
176,Weekly,Large events,Loyalty,Avoid conflict,No,Social media,Extrovert,Nervous,Talk openly,Selfishness,0.0
177,Monthly,Large events,Support,Apologize first,Sometimes,Talking to someone,Introvert,Excited,Express emotion strongly,Unnecessary criticism,1.0
178,Weekly,Small gatherings,Honesty,Talk it out,No,Talking to someone,Ambivert,Nervous,Talk openly,Unnecessary criticism,1.0
179,Weekly,Large events,Honesty,Avoid conflict,Sometimes,Talking to someone,Extrovert,Nervous,Talk openly,Unnecessary criticism,0.0
180,Monthly,Large events,Support,Avoid conflict,No,Talking to someone,Not sure,Avoid it,Other,Injustice,0.0
181,Weekly,Both,Loyalty,Avoid conflict,No,Social media,Extrovert,Excited,Stay silent,Being interrupted,1.0
182,Daily,Small gatherings,Honesty,Talk it out,Yes,None of the above,Not sure,Avoid it,Express emotion strongly,Injustice,0.0
183,Weekly,Small gatherings,Honesty,Talk it out,Sometimes,Alone time,Extrovert,Nervous,Talk openly,Selfishness,1.0
184,Daily,Large events,Loyalty,Avoid conflict,No,Alone time,Extrovert,Excited,Stay silent,Unnecessary criticism,1.0
185,Weekly,Never,Loyalty,Avoid conflict,Yes,Talking to someone,Introvert,Neutral,Express emotion strongly,Being interrupted,0.0
186,Daily,Small gatherings,Loyalty,Avoid conflict,No,Talking to someone,Extrovert,Nervous,Other,Injustice,0.0
187,Daily,Small gatherings,Loyalty,Apologize first,No,Social media,Ambivert,Neutral,Stay silent,Being interrupted,0.0
189,Monthly,Large events,Support,Apologize first,Sometimes,Talking to someone,Not sure,Excited,Other,Unnecessary criticism,1.0
190,Daily,Small gatherings,Honesty,Avoid conflict,No,Talking to someone,Introvert,Neutral,Stay silent,Being interrupted,0.0
191,Daily,Small gatherings,Support,Apologize first,No,Talking to someone,Extrovert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
192,Weekly,Large events,Honesty,Avoid conflict,No,Talking to someone,Extrovert,Neutral,Other,Injustice,1.0
193,Monthly,Large events,Honesty,Talk it out,Yes,Social media,Extrovert,Nervous,Other,Unnecessary criticism,0.0
194,Weekly,Large events,Honesty,Avoid conflict,No,Alone time,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
195,Monthly,Large events,Loyalty,Avoid conflict,No,Social media,Ambivert,Avoid it,Talk openly,Selfishness,1.0
196,Daily,Small gatherings,Loyalty,Apologize first,No,Social media,Extrovert,Neutral,Stay silent,Selfishness,0.0
197,Daily,Small gatherings,Loyalty,Talk it out,Yes,Alone time,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
198,Weekly,Small gatherings,Honesty,Apologize first,Yes,Alone time,Ambivert,Neutral,Other,Being interrupted,0.0
199,Daily,Small gatherings,Understanding person,Talk it out,Yes,Talking to someone,Ambivert,Nervous,Stay silent,Selfishness,1.0
200,Daily,Never,Support,Avoid conflict,No,Social media,Ambivert,Neutral,Express emotion strongly,Unnecessary criticism,0.0
201,Weekly,Large events,Loyalty,Avoid conflict,No,Talking to someone,Ambivert,Neutral,Stay silent,Unnecessary criticism,0.0
202,Daily,Small gatherings,Loyalty,Avoid conflict,Sometimes,Talking to someone,Extrovert,Neutral,Stay silent,Unnecessary criticism,0.0
203,Monthly,Large events,Loyalty,Avoid conflict,Sometimes,Social media,Ambivert,Neutral,Other,Injustice,0.0
204,Weekly,Large events,Loyalty,Avoid conflict,Sometimes,Talking to someone,Extrovert,Excited,Talk openly,Unnecessary criticism,1.0
205,Daily,Both,Support,Apologize first,Yes,Social media,Not sure,Neutral,Other,Injustice,0.0
206,Monthly,Both,Support,Avoid conflict,No,Talking to someone,Ambivert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
207,Weekly,Small gatherings,Honesty,Avoid conflict,Sometimes,Social media,Extrovert,Nervous,Stay silent,Being interrupted,0.0
208,Never,Never,Honesty,Talk it out,Sometimes,Alone time,Extrovert,Nervous,Other,Unnecessary criticism,0.0
209,Never,Never,Honesty,Talk it out,Yes,Alone time,Introvert,Nervous,Stay silent,Being interrupted,0.0
210,Monthly,Small gatherings,Loyalty,Talk it out,Sometimes,Social media,Ambivert,Neutral,Express emotion strongly,Selfishness,0.0
211,Daily,Small gatherings,Honesty,Let time fix it,Sometimes,Social media,Introvert,Excited,Talk openly,Injustice,1.0
212,Monthly,Large events,Loyalty,Apologize first,Sometimes,Social media,Introvert,Excited,Express emotion strongly,Being interrupted,0.0
213,Weekly,Never,Support,Let time fix it,Never,Talking to someone,Not sure,Avoid it,Other,Being interrupted,0.0
214,Daily,Small gatherings,Honesty,Let time fix it,Never,None of the above,Not sure,Avoid it,Stay silent,Injustice,0.0
215,Daily,Never,Loyalty,Avoid conflict,Yes,Social media,Extrovert,Nervous,Express emotion strongly,Being interrupted,0.0
216,Daily,Large events,Honesty,Talk it out,Yes,Alone time,Not sure,Excited,Other,Injustice,1.0
217,Daily,Both,Support,Let time fix it,Yes,Talking to someone,Ambivert,Excited,Other,Unnecessary criticism,0.0
218,Weekly,Both,Loyalty,Avoid conflict,Sometimes,Talking to someone,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
219,Daily,Large events,Loyalty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Nervous,Express emotion strongly,Being interrupted,1.0
220,Daily,Never,Support,Let time fix it,Sometimes,Social media,Ambivert,Avoid it,Talk openly,Being interrupted,0.0
221,Daily,Small gatherings,Honesty,Let time fix it,Sometimes,None of the above,Not sure,Avoid it,Talk openly,Unnecessary criticism,0.0
222,Daily,Both,Honesty,Talk it out,Yes,Social media,Not sure,Neutral,Talk openly,Selfishness,0.0
223,Weekly,Large events,Support,Talk it out,No,Talking to someone,Ambivert,Neutral,Other,Being interrupted,0.0
224,Daily,Small gatherings,Honesty,Avoid conflict,Yes,None of the above,Introvert,Excited,Talk openly,Unnecessary criticism,1.0
225,Never,Small gatherings,Support,Let time fix it,Never,Talking to someone,Introvert,Excited,Other,Being interrupted,0.0
226,Monthly,Large events,Honesty,Avoid conflict,Sometimes,Alone time,Ambivert,Neutral,Express emotion strongly,Selfishness,0.0
227,Never,Both,Honesty,Talk it out,No,Alone time,Extrovert,Excited,Stay silent,Unnecessary criticism,0.0
228,Monthly,Small gatherings,Honesty,Avoid conflict,Yes,Social media,Extrovert,Nervous,Talk openly,Unnecessary criticism,1.0
229,Never,Never,Support,Avoid conflict,No,Talking to someone,Ambivert,Avoid it,Stay silent,Unnecessary criticism,1.0
230,Daily,Small gatherings,Loyalty,Talk it out,Yes,None of the above,Ambivert,Neutral,Stay silent,Unnecessary criticism,0.0
231,Daily,Never,Support,Let time fix it,Sometimes,Talking to someone,Not sure,Avoid it,Stay silent,Unnecessary criticism,0.0
232,Daily,Small gatherings,Loyalty,Talk it out,Yes,Talking to someone,Not sure,Avoid it,Talk openly,Selfishness,0.0
